"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000223960.9",703.249170458647,-0.218223589606068,0.140023990324502,-1.55847286668763,0.119121195145285,0.563604332930737,"CHROMR"
"ENSG00000285873.1",9.58370628774272,-0.938626669991797,0.60227837436833,-1.55845985832752,0.119124276570377,0.563604332930737,"ENSG00000285873"
"ENSG00000120337.10",2.81736328744945,2.15374714439296,1.38207942040425,1.55833819142102,0.119153100096243,NA,"TNFSF18"
"ENSG00000170236.16",12.5272043844708,0.840074400588657,0.539093357801602,1.55830968501345,0.119159854203404,0.56364284708739,"USP50"
"ENSG00000101181.18",1530.38448898702,0.135853707105324,0.0872054865712718,1.55785733727078,0.119267070447929,0.564020126199773,"MTG2"
"ENSG00000168275.16",1504.82568754212,0.151596405596652,0.0973262057191501,1.55761137996181,0.119325399393583,0.564166094302044,"COA6"
"ENSG00000102054.18",11051.2071255211,-0.1146401951856,0.0736112521704837,-1.5573732521231,0.119381892869464,0.564253726915607,"RBBP7"
"ENSG00000160208.13",13486.7511845767,-0.129298487005594,0.0830296910000238,-1.55725603032242,0.119409710279217,0.564253726915607,"RRP1B"
"ENSG00000128965.13",834.172783846975,0.167788219702053,0.10775798257303,1.55708389945347,0.119450567131623,0.564253726915607,"CHAC1"
"ENSG00000143878.10",5208.10337597043,0.134898677657779,0.0866362167969028,1.55707027205511,0.119453802188384,0.564253726915607,"RHOB"
"ENSG00000280426.1",18.1971089019158,-0.746159080936602,0.479333384829062,-1.55665994598456,0.119551243114769,0.564567288916228,"ENSG00000280426"
"ENSG00000125046.16",19.3229317798996,-0.735370077559791,0.472433056694248,-1.55655932018261,0.119575148424013,0.564567288916228,"SSUH2"
"ENSG00000239622.1",6.44163518293146,1.26987256982202,0.815841560819615,1.55651860705193,0.119584821559796,NA,"ENSG00000239622"
"ENSG00000005243.10",11.4870041275669,1.01677003143871,0.653265691738982,1.55644180353645,0.119603071170465,0.564569368349002,"COPZ2"
"ENSG00000254202.2",13.2021500231647,-0.837197238294686,0.537980453514642,-1.55618523465909,0.119664051413234,0.564727454211363,"ENSG00000254202"
"ENSG00000254285.3",3365.37464781129,0.205927599364174,0.132356435934601,1.55585633528184,0.119742258492557,0.564927615739316,"KRT8P3"
"ENSG00000143476.18",3464.63495392605,-0.14026058986047,0.0901574782251079,-1.55572884936137,0.119772583396402,0.564927615739316,"DTL"
"ENSG00000227053.2",10.0702963649315,0.910515838357582,0.585292314268568,1.55565999443448,0.119788964326557,0.564927615739316,"MUC12-AS1"
"ENSG00000137098.14",28.0112821858739,-0.557933165503419,0.358705296353594,-1.55540821720523,0.119848878324091,0.565080446961625,"SPAG8"
"ENSG00000136122.18",1167.14760674738,-0.150946210374942,0.097056214478241,-1.55524518637375,0.119887686362762,0.565133717519557,"BORA"
"ENSG00000182983.15",38.4653369884358,0.48960526540762,0.314877465815469,1.55490728477391,0.119968152169506,0.565308378918807,"ZNF662"
"ENSG00000258525.2",18.4177036839723,-0.742348339556234,0.477437879407977,-1.55485848855719,0.119979775694202,0.565308378918807,"ENSG00000258525"
"ENSG00000139914.7",14.2778902857914,0.817307281347635,0.525707190367026,1.55468157241111,0.120021925479669,0.565377302253806,"FITM1"
"ENSG00000170037.14",1723.42625059694,-0.134884024962104,0.0867714454650573,-1.55447479570248,0.120071204157715,0.565479767769816,"CNTROB"
"ENSG00000227785.1",6.95984707717495,-1.16059757550751,0.746686013727416,-1.55433147825265,0.120105368626896,NA,"ENSG00000227785"
"ENSG00000287776.2",8.22588604276503,-1.07657441341395,0.692784042195775,-1.55398269567779,0.120188544328939,NA,"ENSG00000287776"
"ENSG00000135185.12",755.327565222323,0.155155278319703,0.0998513066947687,1.55386327385771,0.120217033733802,0.566036792114027,"TMEM243"
"ENSG00000186439.15",7.22217278552387,1.09518065335334,0.704963036864318,1.55352918675668,0.120296762018021,NA,"TRDN"
"ENSG00000186891.14",3.89458614867129,-1.54503264629679,0.994571343362604,-1.55346587915262,0.120311874738492,NA,"TNFRSF18"
"ENSG00000215182.8",4.92132744496665,1.46528388053362,0.943315389995719,1.55333401328295,0.120343358383944,NA,"MUC5AC"
"ENSG00000248538.10",45.8014511932732,0.478210216313504,0.307927927324724,1.5529939764418,0.120424573665402,0.566727764302323,"PPP1R3B-DT"
"ENSG00000136104.21",2335.52135535946,-0.144130906516437,0.0928100805243484,-1.55296607547522,0.120431239508883,0.566727764302323,"RNASEH2B"
"ENSG00000106077.19",3426.90746678809,0.12269269689108,0.0790086536798031,1.55290200727016,0.120446547190963,0.566727764302323,"ABHD11"
"ENSG00000155622.7",8.35703842845194,1.23961064740501,0.79837801479521,1.55266130132977,0.120504072168299,NA,"XAGE2"
"ENSG00000236801.1",86.1296017183631,0.388525661944419,0.25026812248173,1.55243767401013,0.120557534889398,0.566917369739086,"RPL24P8"
"ENSG00000248161.5",33.2929953228011,-0.526370572080429,0.339100412465314,-1.55225577065398,0.120601036328136,0.566917369739086,"ENSG00000248161"
"ENSG00000198162.12",9412.32975989186,-0.164802771548397,0.106172118710964,-1.55222268849174,0.120608949111245,0.566917369739086,"MAN1A2"
"ENSG00000133026.14",58281.8653672301,-0.11036294598097,0.0711062640377298,-1.55208472100869,0.120641953353758,0.566917369739086,"MYH10"
"ENSG00000172172.8",4177.61039836104,0.119560804675236,0.0770342113873433,1.55204814227357,0.120650704814313,0.566917369739086,"MRPL13"
"ENSG00000162493.17",1162.80532611769,-0.604123551988374,0.389282501933812,-1.55188982034207,0.120688589057954,0.566917369739086,"PDPN"
"ENSG00000142864.15",53909.2422678286,-0.136098382348688,0.0877089139887845,-1.55170525046167,0.120732765824238,0.566917369739086,"SERBP1"
"ENSG00000284691.1",283.808109593699,-0.237965472269464,0.153358629193006,-1.55169274478828,0.120735759512532,0.566917369739086,"ENSG00000284691"
"ENSG00000188372.15",26.669143741909,-0.590538289243055,0.380605828754537,-1.55157447581789,0.120764074369796,0.566917369739086,"ZP3"
"ENSG00000135838.14",143.930308055129,-0.327099980069766,0.21085159475591,-1.55132798710121,0.12082310310764,0.566917369739086,"NPL"
"ENSG00000070061.16",6097.63474443329,-0.122413345115048,0.0789116852602578,-1.55127019162393,0.120836947146601,0.566917369739086,"ELP1"
"ENSG00000164749.13",2159.10768131198,0.20395051127087,0.131475210804302,1.55124688542578,0.12084253014769,0.566917369739086,"HNF4G"
"ENSG00000105948.13",1234.07227575776,-0.154656891490049,0.0996992616630177,-1.55123407044665,0.120845600062671,0.566917369739086,"IFT56"
"ENSG00000196636.8",1422.21847540947,0.158538920733319,0.102213431923576,1.55105760319112,0.120887880194702,0.566961198501025,"SDHAF3"
"ENSG00000115266.12",372.586146854233,-0.236189117594009,0.15228529403991,-1.55096471450559,0.120910140224553,0.566961198501025,"APC2"
"ENSG00000181790.13",61.1695885491521,-0.435555396134076,0.280926110363549,-1.55042689186284,0.121039088166583,0.567436327751283,"ADGRB1"
"ENSG00000237737.6",4.81441131700436,-1.43369508601428,0.924778555982722,-1.5503117765212,0.12106670210633,NA,"DCTN1-AS1"
"ENSG00000130377.14",6.1449048208326,-1.28328059223502,0.827768719404843,-1.5502888212032,0.121072209231668,NA,"ACSBG2"
"ENSG00000184445.12",3046.75785534283,-0.147057610799278,0.0948606880807512,-1.55024819843277,0.121081955370394,0.567492547530512,"KNTC1"
"ENSG00000117983.17",11.3170500459246,-0.981634075075387,0.633252406623304,-1.55014661580168,0.12110632957084,0.567492547530512,"MUC5B"
"ENSG00000290449.1",3.98287674675455,-1.5984194840968,1.03128797690854,-1.54992545233421,0.121159409819639,NA,"ENSG00000290449"
"ENSG00000287670.1",31.5628207226445,-0.55042687340704,0.355139462514043,-1.54988935757956,0.121168074453953,0.567644067769097,"ENSG00000287670"
"ENSG00000166482.12",115.27141296948,-0.356310493194413,0.229910122789813,-1.54978166629121,0.121193928892336,0.567644067769097,"MFAP4"
"ENSG00000067221.14",381.152215484775,0.22489209012882,0.145124340545357,1.54965107358081,0.121225287275401,0.567661517323584,"STOML1"
"ENSG00000156802.13",6678.95346142674,-0.132110350962979,0.085284787148403,-1.54904943050507,0.121369837921585,0.568138886901774,"ATAD2"
"ENSG00000071575.12",3758.56779421471,-0.122116219548524,0.0788456076283024,-1.54880180674376,0.121429371105362,0.568138886901774,"TRIB2"
"ENSG00000153140.9",4252.27587109617,0.157052493075391,0.101403999663525,1.54878006386846,0.121434599572256,0.568138886901774,"CETN3"
"ENSG00000234742.1",48.3592056795404,0.46199875214138,0.298301095810712,1.54876652694076,0.12143785485984,0.568138886901774,"RPL17P18"
"ENSG00000255468.7",186.882363895795,0.240599345336281,0.155399606656626,1.54826225440786,0.121559168239843,0.5683482087881,"B4GAT1-DT"
"ENSG00000111671.10",375.102163604443,0.182919690977998,0.118150515083706,1.54819207388478,0.121576059153016,0.5683482087881,"SPSB2"
"ENSG00000124357.13",1348.16722551324,0.162453488812154,0.104936766798399,1.54810838725625,0.121596203088802,0.5683482087881,"NAGK"
"ENSG00000112494.10",885.318230841609,-0.303876666609714,0.196296921562037,-1.5480460120903,0.121611218909433,0.5683482087881,"UNC93A"
"ENSG00000202079.1",6.11612542969303,1.221407694614,0.789033742808085,1.5479790385987,0.121627343317479,NA,"Y_RNA"
"ENSG00000125814.17",1108.44449466326,-0.179041835606276,0.115662280832028,-1.54797081916698,0.121629322327103,0.5683482087881,"NAPB"
"ENSG00000180611.7",2040.761800981,-0.143320597616799,0.0925951648378946,-1.54781945545114,0.121665770984561,0.5683482087881,"MB21D2"
"ENSG00000135597.19",8294.33245889348,-0.114381338184496,0.0739004516963338,-1.54777590067383,0.12167626063623,0.5683482087881,"REPS1"
